epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
30,1.1697457611560822,0.5034013605442177,0.36,0.37194295900178254,0.30295340589458236,0.3373963556316497,"[0.5294117647058824, 0.36363636363636365, 0.0, 0.3, 0.6666666666666666]","[[9, 1, 0, 5, 2], [2, 4, 0, 3, 2], [3, 1, 0, 3, 2], [5, 0, 0, 3, 2], [1, 0, 0, 0, 2]]"
31,1.1651775538921356,0.6122448979591837,0.26,0.28848484848484846,0.1851063829787234,0.15861702127659574,"[0.0, 0.9090909090909091, 0.0, 0.2, 0.3333333333333333]","[[0, 12, 1, 2, 2], [0, 10, 0, 1, 0], [0, 7, 0, 1, 1], [1, 6, 0, 2, 1], [1, 1, 0, 0, 1]]"
32,1.1437771797180176,0.5102040816326531,0.4,0.2585858585858586,0.20583860583860583,0.2839116439116439,"[1.0, 0.18181818181818182, 0.1111111111111111, 0.0, 0.0]","[[17, 0, 0, 0, 0], [9, 2, 0, 0, 0], [8, 0, 1, 0, 0], [9, 0, 1, 0, 0], [3, 0, 0, 0, 0]]"
33,1.1261000871658324,0.5782312925170068,0.2,0.24130718954248365,0.18704628704628706,0.19098568098568103,"[0.11764705882352941, 0.0, 0.5555555555555556, 0.2, 0.3333333333333333]","[[2, 0, 3, 6, 6], [1, 0, 0, 4, 6], [0, 0, 5, 3, 1], [1, 0, 2, 2, 5], [0, 0, 1, 1, 1]]"
34,1.221747672557831,0.38095238095238093,0.38,0.26748663101604275,0.23714285714285716,0.3151428571428571,"[0.7647058823529411, 0.2727272727272727, 0.0, 0.3, 0.0]","[[13, 1, 0, 3, 0], [5, 3, 0, 3, 0], [7, 0, 0, 2, 0], [7, 0, 0, 3, 0], [3, 0, 0, 0, 0]]"
35,1.3206232249736787,0.564625850340136,0.2,0.23393939393939395,0.13844611528822054,0.12714786967418548,"[0.0, 0.6363636363636364, 0.0, 0.2, 0.3333333333333333]","[[0, 10, 0, 3, 4], [0, 7, 0, 3, 1], [0, 5, 0, 2, 2], [0, 4, 0, 2, 4], [0, 1, 0, 1, 1]]"
36,1.231643944978714,0.4013605442176871,0.3,0.2771479500891265,0.2693436293436293,0.27959845559845564,"[0.47058823529411764, 0.18181818181818182, 0.0, 0.4, 0.3333333333333333]","[[8, 1, 0, 7, 1], [3, 2, 0, 6, 0], [3, 0, 0, 6, 0], [6, 0, 0, 4, 0], [0, 0, 0, 2, 1]]"
37,1.2214147210121156,0.4557823129251701,0.4,0.3448603683897801,0.32135338345864656,0.33264661654135336,"[0.7647058823529411, 0.18181818181818182, 0.4444444444444444, 0.0, 0.3333333333333333]","[[13, 1, 2, 0, 1], [8, 2, 1, 0, 0], [5, 0, 4, 0, 0], [8, 0, 2, 0, 0], [1, 0, 1, 0, 1]]"
38,1.1425134897232057,0.3877551020408163,0.28,0.19679144385026737,0.14076086956521738,0.20179347826086957,"[0.5294117647058824, 0.45454545454545453, 0.0, 0.0, 0.0]","[[9, 8, 0, 0, 0], [6, 5, 0, 0, 0], [4, 5, 0, 0, 0], [8, 2, 0, 0, 0], [2, 1, 0, 0, 0]]"
39,1.3122381925582887,0.5306122448979592,0.28,0.31125371360665477,0.30317966016991504,0.26678473263368313,"[0.17647058823529413, 0.09090909090909091, 0.5555555555555556, 0.4, 0.3333333333333333]","[[3, 0, 7, 7, 0], [1, 1, 5, 4, 0], [1, 0, 5, 3, 0], [1, 0, 5, 4, 0], [0, 0, 1, 1, 1]]"
