epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
40,0.5664847165346145,0.7210884353741497,0.56,0.5383244206773619,0.5331069609507639,0.5689643463497452,"[0.6060606060606061, 0.47058823529411764]","[[20, 13], [9, 8]]",0.5704099821746881,0.4787050530795587
41,0.5786925315856933,0.673469387755102,0.68,0.5294117647058824,0.4579945799457995,0.5689972899728998,"[1.0, 0.058823529411764705]","[[33, 0], [16, 1]]",0.5650623885918004,0.4726831978745025
42,0.6257558465003967,0.5918367346938775,0.6,0.5115864527629234,0.503968253968254,0.5738095238095238,"[0.7878787878787878, 0.23529411764705882]","[[26, 7], [13, 4]]",0.5686274509803921,0.4586764532209846
43,0.6475740313529968,0.6122448979591837,0.52,0.536541889483066,0.512987012987013,0.5316883116883117,"[0.48484848484848486, 0.5882352941176471]","[[16, 17], [7, 10]]",0.570409982174688,0.45896015798906575
44,0.5415063172578811,0.7210884353741497,0.38,0.5303030303030303,0.3186813186813187,0.2532747252747253,"[0.06060606060606061, 1.0]","[[2, 31], [0, 17]]",0.5614973262032086,0.45543952500777385
45,0.4580517828464508,0.8163265306122449,0.56,0.5525846702317291,0.5416666666666666,0.571,"[0.5757575757575758, 0.5294117647058824]","[[19, 14], [8, 9]]",0.5721925133689839,0.4608868975695154
46,0.4859642744064331,0.8435374149659864,0.52,0.536541889483066,0.512987012987013,0.5316883116883117,"[0.48484848484848486, 0.5882352941176471]","[[16, 17], [7, 10]]",0.5721925133689839,0.4604667295022885
47,0.4989343166351318,0.8571428571428571,0.6,0.554367201426025,0.554367201426025,0.6,"[0.696969696969697, 0.4117647058823529]","[[23, 10], [10, 7]]",0.5650623885918004,0.4567059463253218
48,0.4907564014196396,0.8027210884353742,0.62,0.5267379679144385,0.5180111618467782,0.5889599188229324,"[0.8181818181818182, 0.23529411764705882]","[[27, 6], [13, 4]]",0.5650623885918002,0.4562984899534834
49,0.5396823018789292,0.7755102040816326,0.6,0.5115864527629234,0.503968253968254,0.5738095238095238,"[0.7878787878787878, 0.23529411764705882]","[[26, 7], [13, 4]]",0.5632798573975044,0.4563717763237142
50,0.5077653169631958,0.7142857142857143,0.66,0.5285204991087344,0.48764315852923446,0.5827365883062086,"[0.9393939393939394, 0.11764705882352941]","[[31, 2], [15, 2]]",0.5650623885918004,0.45259893107303045
51,0.620914313197136,0.5918367346938775,0.66,0.5427807486631016,0.5200451722190853,0.6029813664596273,"[0.9090909090909091, 0.17647058823529413]","[[30, 3], [14, 3]]",0.5739750445632799,0.4580088405402746
52,0.45225940346717836,0.8299319727891157,0.42,0.5320855614973262,0.4005787515502274,0.3660520876395205,"[0.18181818181818182, 0.8823529411764706]","[[6, 27], [2, 15]]",0.5650623885918004,0.45927391867199496
53,0.4543467402458191,0.8435374149659864,0.54,0.5659536541889483,0.5353535353535354,0.5502222222222222,"[0.48484848484848486, 0.6470588235294118]","[[16, 17], [6, 11]]",0.572192513368984,0.4623887311422517
54,0.4737657934427261,0.8775510204081632,0.5,0.535650623885918,0.4981934965877158,0.5078281814532316,"[0.42424242424242425, 0.6470588235294118]","[[14, 19], [6, 11]]",0.5704099821746881,0.4612428182316329
55,0.48982625603675845,0.8435374149659864,0.54,0.5659536541889483,0.5353535353535354,0.5502222222222222,"[0.48484848484848486, 0.6470588235294118]","[[16, 17], [6, 11]]",0.5579322638146168,0.45542681399627843
56,0.4868126302957535,0.782312925170068,0.6,0.554367201426025,0.554367201426025,0.6,"[0.696969696969697, 0.4117647058823529]","[[23, 10], [10, 7]]",0.5579322638146167,0.45600850937853976
57,0.4597570180892944,0.8027210884353742,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.5472370766488414,0.4600995302350216
58,0.5680916994810105,0.7074829931972789,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.5490196078431373,0.45249194174508023
59,0.47757152616977694,0.7687074829931972,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.5490196078431373,0.4527584430177734
60,0.6213738471269608,0.6122448979591837,0.52,0.5508021390374331,0.5169082125603865,0.5292753623188406,"[0.45454545454545453, 0.6470588235294118]","[[15, 18], [6, 11]]",0.5543672014260249,0.45463452097252766
61,0.5976810544729233,0.6326530612244898,0.68,0.5579322638146168,0.5337995337995338,0.6173426573426574,"[0.9393939393939394, 0.17647058823529413]","[[31, 2], [14, 3]]",0.5686274509803921,0.47740853169241926
62,0.5596848517656327,0.6598639455782312,0.68,0.5579322638146168,0.5337995337995338,0.6173426573426574,"[0.9393939393939394, 0.17647058823529413]","[[31, 2], [14, 3]]",0.5739750445632799,0.48043263303067363
63,0.4893586874008179,0.6802721088435374,0.68,0.5579322638146168,0.5337995337995338,0.6173426573426574,"[0.9393939393939394, 0.17647058823529413]","[[31, 2], [14, 3]]",0.5668449197860963,0.47658029030690224
