epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
44,0.44369188249111174,0.8445945945945946,0.875,0.4772727272727273,0.4666666666666667,0.8555555555555556,"[0.9545454545454546, 0.0]","[[42, 2], [4, 0]]",0.4886363636363636,0.12447318007662835
45,0.46446200609207156,0.8716216216216216,0.08333333333333333,0.5,0.07692307692307693,0.012820512820512822,"[0.0, 1.0]","[[0, 44], [0, 4]]",0.4431818181818182,0.09630262249827468
46,0.6168139189481735,0.6013513513513513,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.48863636363636365,0.12393483709273183
47,0.4065410643815994,0.6891891891891891,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.5056818181818182,0.1388888888888889
48,0.4764890640974045,0.8581081081081081,0.8333333333333334,0.45454545454545453,0.45454545454545453,0.8333333333333334,"[0.9090909090909091, 0.0]","[[40, 4], [4, 0]]",0.5,0.11725195094760313
49,0.4831236109137535,0.8851351351351351,0.10416666666666667,0.5113636363636364,0.10065359477124183,0.05381263616557735,"[0.022727272727272728, 1.0]","[[1, 43], [0, 4]]",0.46022727272727276,0.09902989522554739
50,0.576142019033432,0.6554054054054054,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.5340909090909091,0.14957264957264957
51,0.5481512248516083,0.6351351351351351,0.8125,0.5568181818181819,0.5379679144385027,0.8347593582887701,"[0.8636363636363636, 0.25]","[[38, 6], [3, 1]]",0.5113636363636364,0.12072104018912529
52,0.44204092025756836,0.8581081081081081,0.8125,0.5568181818181819,0.5379679144385027,0.8347593582887701,"[0.8636363636363636, 0.25]","[[38, 6], [3, 1]]",0.4943181818181818,0.11199088145896657
53,0.40999269783496856,0.8986486486486487,0.5833333333333334,0.4318181818181818,0.4103194103194103,0.6764946764946765,"[0.6136363636363636, 0.25]","[[27, 17], [3, 1]]",0.48863636363636365,0.11080040526849037
