group,tensor,shape,dtype,bytes,sha256
G0169,tensors/G0169.pt,"96,3,224,224",uint8,14452187,85db813ca419302d2005ab681ab78509ec39fc8dd1f7501f7ac1acfbf835d8f4
G0170,tensors/G0170.pt,"96,3,224,224",uint8,14452187,4c51c37af42615c73540a37d2ea142cf171a36a27a70df1c36053dbeeec8ef03
G0172,tensors/G0172.pt,"96,3,224,224",uint8,14452187,5f69a3d911333e8758703cf4fe55ee783b7c50ec87706465f91675961f31ac9d
G0173,tensors/G0173.pt,"96,3,224,224",uint8,14452187,637ca0e51980097f5ab490188955307698a1adcdf2d71898862fec0d7df37b63
G0177,tensors/G0177.pt,"96,3,224,224",uint8,14452187,bf951f0bae5357df3a7eb7eb91b479a02aa009e9ab7c4a1723cf9559acbaee96
G0178,tensors/G0178.pt,"96,3,224,224",uint8,14452187,028444bd04b59e1d05e976c8d540525cf362cd3626c84ceb1c9784bdc4e317a5
G0179,tensors/G0179.pt,"96,3,224,224",uint8,14452187,55e921da87921c125027a7b87db6b6b3b396d7e54b6e82f728b129a851cd1da5
G0180,tensors/G0180.pt,"96,3,224,224",uint8,14452187,af3234c5b8fffdb686013252320b29e4d2e76b5b71f0185b7194961e0e9b4e7a
G0181,tensors/G0181.pt,"96,3,224,224",uint8,14452187,9652aa9c4dcae2d9e8a3eb4c94c09e18f3012f309d1ab0cecbd0b4e0b1c379e4
G0182,tensors/G0182.pt,"96,3,224,224",uint8,14452187,2f0ee87925a69d0448cacf9e85784b9ce93ab7c235ea71c7bcd47ddfa02e7fa1
G0183,tensors/G0183.pt,"96,3,224,224",uint8,14452187,73f7e1f034e51a96d51acba9def235f35fc48558b6f3d32fa7db801c154e0c8b
G0186,tensors/G0186.pt,"96,3,224,224",uint8,14452187,bc16e76a8a568346250f18c71d3416d607e4c2bee9e3f7beb9ecefa8f923160a
G0190,tensors/G0190.pt,"96,3,224,224",uint8,14452187,0ff426bf867063352c0a5629e1556037cacf176153cc6c848251c0a193d2f90e
G0191,tensors/G0191.pt,"96,3,224,224",uint8,14452187,8738549f89b4853cc81010b6f9423b25173fe5505419faa9e3b00c8a96fc913a
G0192,tensors/G0192.pt,"96,3,224,224",uint8,14452187,a51f62f0e0ddc2f05b8f1ec02949c86bee5625912a84ee74e8b1eed167ce3c3f
G0193,tensors/G0193.pt,"96,3,224,224",uint8,14452187,a3feb9873c3ea60fa49b5ee2f4b4d5d2e3cb9b146d4267a984e493c7b7e7a17d
G0199,tensors/G0199.pt,"96,3,224,224",uint8,14452187,bb744f05eadbcb748ba08e9e4cbbddddff5f681992f56816f12c73785eeb9dc4
G0203,tensors/G0203.pt,"96,3,224,224",uint8,14452187,f9e415223a23f43d194063773087d45f5a74d7c87fecf5e972a02a66072b8b84
G0204,tensors/G0204.pt,"96,3,224,224",uint8,14452187,3aced1bc3c0d16480aa52f42966fb75ebe3ff9a76b9c76ed535b12b97055cb27
G0206,tensors/G0206.pt,"96,3,224,224",uint8,14452187,c03784918f64d9ddacecece9ecc6b4717c757fa62fb966c945e0549270100583
G0207,tensors/G0207.pt,"96,3,224,224",uint8,14452187,7897eed4ddd2dd3efbf69a671c9db0904f26a897ba9c6d3f7d437181ef15f576
G0208,tensors/G0208.pt,"96,3,224,224",uint8,14452187,6945f9f20b78f6f21d4656d6fdeefefcec3587eae8918d91f28724ed08a3f768
G0209,tensors/G0209.pt,"96,3,224,224",uint8,14452187,f3b8d2f08d3cbaa350d28cc561ff006958bee191975a09dcb978f526be025a9b
